iteration internal-T external-T loop-time(ms) wall-time(ms)
753 275.063 260 9.50786 8475
754 275.05 260 9.51292 8486
755 275.036 260 9.50141 8497
756 275.023 260 9.47885 8509
757 275.01 260 9.47203 8520
758 274.997 260 9.52495 8531
759 274.983 260 9.49333 8542
760 274.97 260 9.51792 8554
761 274.957 260 9.48745 8565
762 274.944 260 9.46838 8576
763 274.93 260 9.48411 8587
764 274.917 260 9.47833 8598
765 274.904 260 9.50818 8610
766 274.891 260 9.49948 8621
767 274.878 260 9.465 8632
768 274.865 260 9.51771 8643
769 274.852 260 9.50844 8654
770 274.839 260 9.49292 8666
771 274.825 260 9.48682 8677
772 274.812 260 9.5224 8688
773 274.799 260 9.45401 8699
774 274.786 260 9.48542 8711
775 274.773 260 9.45974 8722
776 274.76 260 9.47542 8733
777 274.747 260 9.49896 8744
778 274.735 260 9.5176 8755
779 274.722 260 9.48875 8767
780 274.709 260 9.51823 8778
781 274.696 260 9.50542 8789
782 274.683 260 9.52635 8800
783 274.67 260 9.50203 8812
784 274.657 260 9.51838 8823
785 274.644 260 9.49276 8834
786 274.632 260 9.51828 8845
787 274.619 260 9.46052 8857
788 274.606 260 9.52214 8868
789 274.593 260 9.51026 8879
790 274.58 260 9.51615 8890
791 274.568 260 9.495 8902
792 274.555 260 9.45912 8913
793 274.542 260 9.4987 8924
794 274.53 260 9.52328 8935
795 274.517 260 9.50172 8946
796 274.504 260 9.48281 8958
797 274.492 260 9.5076 8969
798 274.479 260 9.49323 8980
799 274.466 260 9.49516 8991
800 274.454 260 9.49344 9003
801 274.441 260 9.54578 9014
802 274.428 260 9.53672 9025
803 274.416 260 9.51526 9037
804 274.403 260 9.51099 9048
805 274.391 260 9.49766 9059
806 274.378 260 9.54 9070
807 274.366 260 9.52339 9082
808 274.353 260 9.51031 9093
809 274.341 260 9.47432 9104
810 274.328 260 9.52417 9115
811 274.316 260 9.50932 9127
812 274.304 260 9.49828 9138
813 274.291 260 9.52063 9149
814 274.279 260 9.51161 9160
815 274.266 260 9.49776 9172
816 274.254 260 9.52427 9183
817 274.242 260 9.45562 9194
818 274.229 260 9.47443 9205
819 274.217 260 9.5037 9216
820 274.205 260 9.51875 9228
821 274.192 260 9.45739 9239
822 274.18 260 9.52443 9250
823 274.168 260 9.50401 9261
824 274.156 260 9.51042 9273
825 274.143 260 9.51365 9284
826 274.131 260 9.49443 9295
827 274.119 260 9.50271 9306
828 274.107 260 9.47589 9318
829 274.095 260 9.46177 9329
830 274.082 260 9.54109 9340
831 274.07 260 9.50885 9351
832 274.058 260 9.46927 9362
833 274.046 260 9.51656 9374
834 274.034 260 9.48917 9385
835 274.022 260 9.5025 9396
836 274.01 260 9.51667 9407
837 273.998 260 9.52297 9419
838 273.986 260 9.52151 9430
839 273.974 260 9.50828 9441
840 273.962 260 9.50833 9452
841 273.95 260 9.50229 9464
842 273.938 260 10.1315 9476
843 273.926 260 10.1799 9488
844 273.914 260 10.0606 9500
845 273.902 260 9.85787 9512
846 273.89 260 10.1422 9524
847 273.878 260 9.69703 9536
848 273.866 260 9.62589 9548
849 273.854 260 9.49245 9559
850 273.842 260 9.50016 9570
851 273.83 260 9.50281 9581
852 273.818 260 9.52474 9593
853 273.807 260 9.50755 9604
854 273.795 260 9.53047 9615
855 273.783 260 9.4426 9626
856 273.771 260 9.48875 9637
857 273.759 260 9.49422 9649
858 273.748 260 9.48516 9660
859 273.736 260 9.50313 9671
860 273.724 260 9.51031 9682
861 273.712 260 9.48073 9694
862 273.701 260 9.55281 9705
863 273.689 260 9.51958 9716
864 273.677 260 9.52083 9728
865 273.666 260 9.45141 9739
866 273.654 260 9.48063 9750
867 273.642 260 9.4676 9761
868 273.631 260 9.53844 9773
869 273.619 260 9.57115 9784
870 273.607 260 9.54786 9795
